"id","name","area","ingredients"
52834,"Beef stroganoff","Russian","Olive Oil, Onions, Garlic, Butter, Mushrooms, Beef Fillet, Plain Flour, Creme Fraiche, English Mustard, Beef Stock, Parsley"
52802,"Fish pie","British","Floury Potatoes, Olive Oil, Semi-skimmed Milk, White Fish Fillets, Plain flour, Nutmeg, Double Cream, Jerusalem Artichokes, Leek, Prawns, Parsley, Dill, Lemon, Gruyre, Lemon"
52999,"Crispy Sausages and Greens","Irish","Kale, Italian Fennel Sausages, Cabbage, Garlic Clove, Onion, Shiitake Mushrooms, Chicken Stock, Salt, Pepper"
52918,"Fish Stew with Rouille","French","Prawns, Olive Oil, Dry White Wine, Fish Stock, Fennel, Onion, Garlic, Potatoes, Orange, Star Anise, Bay Leaf, Harissa Spice, Tomato Puree, Chopped Tomatoes, Mussels, White Fish, Thyme, Bread"
52949,"Sweet and Sour Pork","Chinese","Pork, Egg, Water, Salt, Sugar, Soy Sauce, Starch, Tomato Puree, Vinegar, Coriander"
52926,"Tourtiere","Canadian","Potatoes, Sunflower Oil, Minced Pork, Onion, Garlic Clove, Cinnamon, Allspice, Nutmeg, Vegetable Stock, Shortcrust Pastry, Egg"
52967,"Home-made Mandazi","Kenyan","Self-raising Flour, Sugar, Eggs, Milk"
52864,"Mushroom & Chestnut Rotolo","British","Mushrooms, Chestnuts, Challots, Garlic, Rosemary, Wild Mushrooms, Soy Sauce, White Wine, Lasagne Sheets, Breadcrumbs, Sage, Truffle Oil"
53029,"Mulukhiyah","Egyptian","Mulukhiyah, Onion, Beef, Salt, Water, Garlic Clove, Olive Oil"
52782,"Lamb tomato and sweet spices","Moroccan","olive oil, ginger, garlic, tomatoes, lemon juice, caster sugar, vine leaves, fennel bulb, lamb mince, onion, potato, basmati rice, chopped parsley, coriander, lemon juice, garlic, clove, cinnamon, tomatoes"
